Time,Store name,Product name,PID,robotMAC,Activated on,unbound,[Take me into the store] Number of clicks,[featured item] number of clicks,[Promotions] Clicks,[Escorting] Clicks,[Poster] Clicks,[Lead the way] Clicks,[Dance] Clicks,[Video Poster] Clicks
2023-01-16,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0,0,0,0,0,0,14,0
2023-01-16,SMS,kettybot,pnt102213716189,20:50:E7:23:BB:68,2022-10-28 16:06:10,false,1,0,1,0,0,0,0,0
2023-01-15,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0,0,1,0,0,0,0,0
2023-01-15,Parmesan,kettybot,PNT102213716164,20:50:E7:23:69:5C,2022-07-07 10:21:33,false,1,0,0,0,0,0,0,0
2023-01-14,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,1,0,1,0,0,0,0,0
2023-01-13,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,1,0,2,0,0,0,0,0
2023-01-12,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0,2,1,0,1,0,0,0
2023-01-11,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0,0,0,0,0,0,3,0
2023-01-10,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0,0,1,0,1,0,1,0
2023-01-09,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0,1,0,0,0,0,2,0
2023-01-09,SMS,kettybot,pnt102213716189,20:50:E7:23:BB:68,2022-10-28 16:06:10,false,1,1,1,0,0,0,0,0
2023-01-07,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0,0,0,0,0,0,3,0
2023-01-06,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0,0,0,0,0,0,1,0
2023-01-05,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0,1,0,0,0,0,8,0
2023-01-04,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,2,5,5,0,1,0,12,0
2023-01-03,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,1,2,4,0,0,0,11,0
2023-01-02,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,1,1,0,0,0,0,6,0
2023-01-01,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0,2,2,0,0,0,4,0
